id,titulo,preco,linkproduto,thumby
MLB1918496840,Celular Motorola G10 128gb / 4gb Ram / 4g / Dual Sim,1355,https://produto.mercadolivre.com.br/MLB-1918496840-celular-motorola-g10-128gb-4gb-ram-4g-dual-sim-_JM,http://http2.mlstatic.com/D_785880-MLB46403856516_062021-O.jpg
MLB1850753268,"Smartphone Motorola Moto G10 Xt2127-1, 64gb, 4 Ram, Cinza",1799.9,https://produto.mercadolivre.com.br/MLB-1850753268-smartphone-motorola-moto-g10-xt2127-1-64gb-4-ram-cinza-_JM,http://http2.mlstatic.com/D_719831-MLB45509678527_042021-O.jpg
MLB1939767874, Moto G10 Dual Sim 64 Gb Cinza-aurora 4 Gb Ram,1399,https://produto.mercadolivre.com.br/MLB-1939767874-moto-g10-dual-sim-64-gb-cinza-aurora-4-gb-ram-_JM,http://http2.mlstatic.com/D_682915-MLA46570113571_062021-O.jpg
MLB1949845880, Moto G10 Dual Sim 128 Gb Cinza-aurora 4 Gb Ram,1355,https://produto.mercadolivre.com.br/MLB-1949845880-moto-g10-dual-sim-128-gb-cinza-aurora-4-gb-ram-_JM,http://http2.mlstatic.com/D_997591-MLB46763975470_072021-O.jpg
MLB1846970295,Motorola Moto G10 64gb - Novo,1699,https://produto.mercadolivre.com.br/MLB-1846970295-motorola-moto-g10-64gb-novo-_JM,http://http2.mlstatic.com/D_780019-MLB45996554566_052021-O.jpg
MLB1980676200,Moto G10 Dual Sim 64 Gb Branco-floral 4 Gb Ram,1349,https://produto.mercadolivre.com.br/MLB-1980676200-moto-g10-dual-sim-64-gb-branco-floral-4-gb-ram-_JM,http://http2.mlstatic.com/D_987564-MLA46570038881_062021-O.jpg
MLB1856953090,Smartphone Motorola Moto G10 Tl6.5 64gb 4gb Ram Brco Floral,1599,https://produto.mercadolivre.com.br/MLB-1856953090-smartphone-motorola-moto-g10-tl65-64gb-4gb-ram-brco-floral-_JM,http://http2.mlstatic.com/D_953979-MLB45581060519_042021-O.jpg
MLB1857365504,"Celular Motorola Moto G10 64gb Tela 6,5 Camera 48 Mp Cinza A",1381.78,https://produto.mercadolivre.com.br/MLB-1857365504-celular-motorola-moto-g10-64gb-tela-65-camera-48-mp-cinza-a-_JM,http://http2.mlstatic.com/D_765173-MLB45586175961_042021-O.jpg
MLB1874618923,Smartphone Motorola Moto G10 Dual Sim 64gb Cinza +nf,1179.9,https://produto.mercadolivre.com.br/MLB-1874618923-smartphone-motorola-moto-g10-dual-sim-64gb-cinza-nf-_JM,http://http2.mlstatic.com/D_766444-MLB45822215049_052021-O.jpg
MLB1874622607,Smartphone Motorola Moto G10 Dual Sim 64gb Cinza Com Nota ,1255.9,https://produto.mercadolivre.com.br/MLB-1874622607-smartphone-motorola-moto-g10-dual-sim-64gb-cinza-com-nota-_JM,http://http2.mlstatic.com/D_829459-MLB45822214507_052021-O.jpg
MLB1838719183,Smartphone Moto G10 Cinza,1802,https://produto.mercadolivre.com.br/MLB-1838719183-smartphone-moto-g10-cinza-_JM,http://http2.mlstatic.com/D_702002-MLB45373641381_032021-I.jpg
